"date_time","temp","rain_1h","snow_1h","clouds_all","is_holiday","hour","month","day_of_week","is_imputed","traffic_volume"
"2015-10-01 00:00:00",279.62,0,0,1,0,0,10,"Thursday",0,544
"2015-10-01 01:00:00",278.85,0,0,1,0,1,10,"Thursday",0,380
"2015-10-01 02:00:00",278.88,0,0,1,0,2,10,"Thursday",0,298
"2015-10-01 03:00:00",278.89,0,0,1,0,3,10,"Thursday",0,373
"2015-10-01 04:00:00",278.6,0,0,1,0,4,10,"Thursday",0,918
"2015-10-01 05:00:00",278.27,0,0,1,0,5,10,"Thursday",0,2922
"2015-10-01 06:00:00",278.01,0,0,1,0,6,10,"Thursday",1,4590
"2015-10-01 07:00:00",277.75,0,0,1,0,7,10,"Thursday",0,6258
"2015-10-01 08:00:00",280,0,0,1,0,8,10,"Thursday",1,5925
"2015-10-01 09:00:00",282.25,0,0,1,0,9,10,"Thursday",1,5592
"2015-10-01 10:00:00",284.5,0,0,1,0,10,10,"Thursday",1,5258
"2015-10-01 11:00:00",286.75,0,0,1,0,11,10,"Thursday",0,4925
"2015-10-01 12:00:00",288.25,0,0,1,0,12,10,"Thursday",0,5157
"2015-10-01 13:00:00",289.29,0,0,1,0,13,10,"Thursday",0,5141
"2015-10-01 14:00:00",289.76,0,0,1,0,14,10,"Thursday",0,5374
"2015-10-01 15:00:00",290.18,0,0,1,0,15,10,"Thursday",0,5878
"2015-10-01 16:00:00",290.22,0,0,1,0,16,10,"Thursday",0,6220
"2015-10-01 17:00:00",289.61,0,0,1,0,17,10,"Thursday",0,5618
"2015-10-01 18:00:00",288.59,0,0,1,0,18,10,"Thursday",0,4639
"2015-10-01 19:00:00",285.96,0,0,1,0,19,10,"Thursday",0,3745
"2015-10-01 20:00:00",283.65,0,0,1,0,20,10,"Thursday",0,3300
"2015-10-01 21:00:00",282.49,0,0,1,0,21,10,"Thursday",0,4061
"2015-10-01 22:00:00",282.25,0,0,1,0,22,10,"Thursday",0,3712
"2015-10-01 23:00:00",282.01,0,0,1,0,23,10,"Thursday",0,1348
"2015-10-02 00:00:00",281.71,0,0,1,0,0,10,"Friday",0,689
"2015-10-02 01:00:00",280.47,0,0,1,0,1,10,"Friday",0,431
"2015-10-02 02:00:00",279.87,0,0,1,0,2,10,"Friday",0,381
"2015-10-02 03:00:00",278.92,0,0,1,0,3,10,"Friday",0,411
"2015-10-02 04:00:00",278.48,0,0,1,0,4,10,"Friday",0,870
"2015-10-02 05:00:00",277.47,0,0,1,0,5,10,"Friday",0,2778
"2015-10-02 06:00:00",276.92,0,0,1,0,6,10,"Friday",1,4572
"2015-10-02 07:00:00",276.37,0,0,1,0,7,10,"Friday",0,6365
"2015-10-02 08:00:00",278.53,0,0,1,0,8,10,"Friday",1,6046
"2015-10-02 09:00:00",280.7,0,0,1,0,9,10,"Friday",1,5726
